Scraped Date,Category,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"September 11, 2017",Recently Added,Bachelor in Paradise,2014,4,9,405A,"{""amazon""=>[""B01L7W5DSI"", ""B01L7W4PD2""]}"
"September 11, 2017",Recently Added,Cops,1989,30,14,Set in His Ways,{}
"September 11, 2017",Recently Added,Love & Hip Hop: Hollywood,2014,4,9,Intervention,{}
"September 11, 2017",Recently Added,So You Think You Can Dance,2005,14,13,Top 6 Perform,{}
"September 11, 2017",Recently Added,American Ninja Warrior,2010,9,14,Las Vegas Finals Night 2,{}
"September 11, 2017",Recently Added,Counting On,2015,4,1,A New Courtship,{}
"September 11, 2017",Recently Added,Intervention,2005,17,7,Alex,{}
"September 11, 2017",Recently Added,The Real Housewives of Orange County,2006,12,10,Loose Lips Sink Friendships,{}
"",Recently Added,The X Factor,2004,14,4,Auditions 4,{}
"",Recently Added,The X Factor,2004,14,4,Auditions 4,{}
"",Recently Added,Top of the Lake,2013,2,4,Birthday,{}
"September 11, 2017",Recently Added,American Dad!,2005,13,22,West to Mexico,{}
"September 11, 2017",Recently Added,Intervention,2005,17,7,Alex,{}
"September 11, 2017",Recently Added,"Midnight, Texas",2017,1,8,Last Temptation of Midnight,{}
"September 11, 2017",Recently Added,Preacher,2016,2,13,The End of the Road,{}
"September 11, 2017",Recently Added,Siesta Key,2017,1,7,Messy Messy Kelsey,{}
"September 11, 2017",Recently Added,The Real Housewives of Dallas,2016,2,5,Walking in Memphis,{}
"",Recently Added,Top of the Lake,2013,2,4,Birthday,{}
"September 11, 2017",Recently Added,People of Earth,2016,2,8,Alien Experiencer Expo,{}
"September 11, 2017",Recently Added,Conan,2010,7,98,"Heather Graham, Adam Conover, Jenny Zigrino",{}
"September 11, 2017",Recently Added,The Daily Show,1996,23,126,Idris Elba,{}
"September 11, 2017",Recently Added,The Tonight Show Starring Jimmy Fallon,2014,2017,136,"Seth Meyers, Russell Westbrook, Prophets of Rage",{}
